270,23,722,10,68,56,1011.5,29.87,1010.9,09,00
270,18,722,10,65,56,1011.5,29.87,1010.9,09,01
250,14,722,10,64,55,1011.5,29.87,1010.9,09,02
250,9,722,10,63,56,1012,29.89,1011.6,09,03
270,13,722,10,63,56,1012.1,29.89,1011.6,09,04
250,7,722,10,63,56,1012,29.89,1011.6,09,05
220,5,722,10,62,56,1011.9,29.88,1011.3,09,06
230,5,722,10,61,56,1011.8,29.88,1011.3,09,07
220,3,722,10,61,55,1011.6,29.87,1010.9,09,08
290,3,722,10,60,55,1011.3,29.87,1010.9,09,10
20,3,722,10,68,57,1012.2,29.89,1011.6,09,16
280,5,722,10,71,55,1012.3,29.9,1011.9,09,17
170,11,722,10,72,56,1012.4,29.9,1011.9,09,18
220,10,722,10,74,54,1012,29.89,1011.6,09,19
250,11,722,10,74,54,1011.8,29.88,1011.3,09,20
250,16,722,10,76,53,1011.4,29.87,1010.9,09,21
230,16,722,10,75,54,1011,29.86,1010.6,09,22
250,18,722,10,73,54,1011,29.86,1010.6,09,23
250,15,722,10,69,55,1011.8,29.88,1011.3,09,00
240,10,722,10,65,56,1012.1,29.89,1011.6,09,01
260,18,722,10,64,56,1012.5,29.9,1011.9,09,02
240,14,722,10,63,55,1013.1,29.92,1012.6,09,03
240,13,722,10,63,55,1013.7,29.94,1013.3,09,04
240,13,722,10,63,55,1013.4,29.93,1012.9,09,05
250,18,722,10,70,54,1014.6,29.96,1014,09,18
270,15,722,10,69,56,1014.3,29.95,1013.6,09,19
250,17,722,10,72,56,1014.3,29.95,1013.6,09,20
270,20,722,10,70,57,1014.1,29.95,1013.6,09,21
270,18,722,10,67,58,1013.2,29.92,1012.6,09,00
260,17,722,10,65,57,1013,29.92,1012.6,09,01
250,13,722,10,64,56,1013,29.91,1012.3,09,02
250,13,722,10,63,56,1012.9,29.91,1012.3,09,03
260,15,722,10,63,55,1013.2,29.92,1012.6,09,04
260,22,722,10,63,55,1012.9,29.91,1012.3,09,05
250,22,722,10,62,56,1012.9,29.91,1012.3,09,06
250,21,722,10,62,55,1013,29.92,1012.6,09,07
260,18,722,10,61,56,1012.8,29.91,1012.3,09,08
260,20,722,10,61,56,1013,29.92,1012.6,09,09
250,20,722,10,61,56,1013.1,29.92,1012.6,09,10
250,18,722,10,61,55,1012.8,29.91,1012.3,09,11
250,20,722,10,61,55,1012.9,29.91,1012.3,09,12
250,22,722,10,61,54,1013.3,29.93,1012.9,09,13
260,14,722,10,62,54,1013.8,29.94,1013.3,09,14
260,13,722,10,63,53,1014,29.95,1013.6,09,15
